,tcc,tp
0,0.5914527084039273,3.5292434430493946e-05
1,0.6904574605222015,2.7028383154079034e-05
2,0.993590909273873,0.00044005281771970626
3,0.6443816888684004,0.00015898858021593554
4,0.6713604580300835,0.000156349360630669
5,0.6141650251318959,4.80547540454935e-05
6,0.6814413855638085,2.2172698828024528e-05
7,0.641572540049616,1.4499751141014491e-05
8,0.9396596634852411,0.00011142148806159234
9,0.8120246755073811,3.853349772163276e-05
10,0.8922213816701831,6.546541293029251e-05
11,0.8307638043069122,2.3396471862480094e-06
12,0.709552894273706,6.254543742548695e-05
13,0.6391890323501302,0.00016232704371048562
14,0.6072474425208824,3.9094050096050025e-05
15,0.6553315295615054,9.020766053972133e-06
16,0.6263394322959052,1.143642145697783e-05
17,0.7589108673700502,1.3311648495657173e-05
18,0.8712874304189793,0.00010417364126138996
19,0.8211014041136404,9.241714500375093e-05
20,0.8881554401984676,0.00044726172507329997
21,0.8727719725145014,0.0002311704193058161
22,0.7616332571034344,9.699718141634461e-05
23,0.6120703637781919,4.362677925148738e-05
24,0.6272199610199322,1.7243360313625135e-05
25,0.6708339177015867,8.834710482070392e-06
26,0.9793011709372365,3.528610581140694e-05
27,0.9406203980089165,0.0001638521979110874
28,0.9830273532836925,0.0001570369974295085
29,0.8829453108589317,0.0002372196434335328
30,0.7463534257960854,0.0003328845743306331
31,0.6571206589791909,7.7652760350498e-05
32,0.8339942249463052,0.0002762976164830629
33,0.815439376642236,0.00018282775577523034
34,0.8635758436978046,0.00026953606816451365
35,0.9302544135445302,0.0001829543204434918
36,0.9127791564614576,0.00013431210354628088
37,0.9277674058217723,0.0001538581325778225
38,0.9737807879533554,0.00028909872786417795
39,0.9735010761456179,0.00027603151411048643
40,0.6228104870998675,7.162314099957218e-05
41,0.8687651037566538,2.6558970113305658e-05
42,0.9966416331101589,0.00021254444874267472
43,0.9740948047169399,5.2557747011643066e-05
44,0.9838599959377242,0.00016770142346814884
45,0.770880621081469,4.668604158231882e-05
46,0.8713025896945444,6.934550255245407e-05
47,0.7986958231211444,3.6240339987656476e-05
48,0.9196278202842371,0.00019547919332055233
49,0.9567266171481554,6.862437934381927e-05
50,0.9458036692516335,7.500847662116491e-05
51,0.9758834180172159,0.00022814331526560308
52,0.841115496610681,0.0002425329629845501
