,mslp_pc_0_daily,mslp_pc_1_daily,mslp_pc_2_daily,mslp_pc_3_daily,mslp_pc_4_daily
1979-03-19,1527.0715,797.00134,-448.85538,-197.66501,984.6074
1979-03-20,1782.4071,921.315,-638.5675,-420.8577,921.9889
1979-03-21,1311.8141,768.48096,-693.1186,-179.0306,462.66116
1979-03-22,904.3794,335.66113,-563.1564,-268.59097,47.907623
1979-03-23,249.59518,145.91031,-343.70178,-178.05655,-75.33101
1979-03-24,67.04938,749.7991,84.20685,-627.9228,-139.94514
1979-03-25,1267.1346,1212.6785,594.4118,-499.5203,568.81573
1979-03-26,2365.114,763.28595,500.63116,104.89745,662.84875
1979-03-27,2322.3083,1111.3156,-81.66322,388.91388,601.3005
1979-03-28,905.49493,736.72284,-936.83435,953.3165,905.2346
1979-03-29,-343.2042,240.6222,-1183.4581,1309.5885,459.792
1979-03-30,-176.34853,-25.525108,-725.9617,1548.2192,83.04243
1979-03-31,490.8581,-118.76815,-215.38269,1363.1981,-222.4479
1979-04-01,394.19586,253.33714,-195.99661,1032.0802,-521.5475
1979-04-02,132.9724,603.73645,-507.74362,827.1312,-440.67825
1979-04-03,-22.579243,758.1856,-1051.9521,708.2904,-152.53987
1979-04-04,-349.33368,755.96564,-900.90375,490.0516,-78.014534
1979-04-05,-918.57574,551.0282,-628.26056,478.24295,-74.04376
1979-04-06,-1385.6389,532.3686,-715.5455,385.21783,-126.607864
1979-04-07,-1787.2217,655.7942,-792.25024,9.6753025,-44.07934
1979-04-08,-1860.6573,915.46515,-518.5231,-366.49316,214.49052
1979-04-09,-1348.1444,1387.4349,-348.22116,-532.9223,341.96567
1979-04-10,-948.4749,1931.5256,-522.5892,-509.63297,175.9471
1979-04-11,-542.0256,1843.0933,-622.9972,-551.9075,-4.7783012
1979-04-12,-399.26,1661.9755,-344.64246,-831.21136,-581.27576
1979-04-13,-341.91772,1080.9658,-275.9368,-727.8351,-310.8147
1979-04-14,-429.82623,-116.95032,-752.66125,-645.3258,-259.9621
1979-04-15,-1530.4381,-315.7026,-378.44998,-216.47958,-823.82056
1979-04-16,-1828.295,-238.66876,-33.02105,30.769123,-596.9642
1979-04-17,-1659.7594,-401.17395,44.098087,606.3091,-386.55136
1979-04-18,-1123.5721,-579.838,663.8043,740.6043,-465.67993
1979-04-19,-19.213974,-767.15625,1292.3615,534.79553,-394.0405
1979-04-20,677.20374,-880.40753,897.6319,597.7293,-216.81458
1979-04-21,1146.5967,-485.64444,371.04605,610.35345,-250.30548
1979-04-22,1448.0194,25.696808,195.06464,427.2243,-277.8664
1979-04-23,1778.2177,565.96136,-115.44245,293.03503,68.619514
1979-04-24,1266.9637,201.01863,-489.66565,621.5131,324.9244
1979-04-25,357.55707,-321.79105,-557.2376,520.8826,71.66649
1979-04-26,-537.9011,-799.0883,-429.9233,345.70026,6.327346
1979-04-27,-441.58737,-1283.7139,-64.77677,393.093,-87.03898
1979-04-28,704.6149,-1398.3717,94.5899,560.9933,293.58655
1979-04-29,2192.2668,-1242.6802,-252.15515,179.57425,498.42477
1979-04-30,2453.8794,-1337.954,-987.1161,-154.12782,422.93524
1979-05-01,2030.6777,-870.5784,-739.6431,-207.55356,431.76892
1979-05-02,1568.7188,-389.38696,-540.38574,268.48993,599.3849
1979-05-03,1116.4352,-324.5291,-312.3109,368.23752,287.65866
1979-05-04,372.96536,-656.32635,-226.56717,87.65951,223.99883
1979-05-05,-239.58984,-825.53674,-72.522934,-21.96443,181.29782
1979-05-06,-562.911,-588.3207,47.334896,-1.0801742,-132.68254
1979-05-07,-348.67093,-362.2158,75.44137,-409.31137,-238.67348
1979-05-08,-588.875,-297.68286,217.4352,-431.51877,89.8681
1979-05-09,-853.0593,-491.49805,286.83044,-98.98414,15.615641
1979-05-10,-731.49567,-606.81744,412.886,43.330795,-518.07245
1979-05-11,-587.27386,-702.8658,347.41614,-154.37468,-566.6424
1979-05-12,-751.72864,-708.9322,550.74774,-202.20996,-441.48703
1979-05-13,-365.0652,-587.16614,1138.793,-19.01182,-351.55548
1979-05-14,540.81287,-1085.8989,950.9172,-428.61624,183.77718
1979-05-15,798.2067,-560.58496,443.74344,-462.66592,173.93
1979-05-16,1007.0209,390.38052,27.010855,-493.83432,21.424963
1979-05-17,1337.8058,363.20334,-219.78691,-205.40771,306.67477
1979-05-18,998.8602,-550.3919,-218.46664,-417.04324,716.29486
1979-05-19,644.66583,-233.18443,295.14224,-364.12283,152.41559
1979-05-20,270.93494,646.5955,443.0163,-534.0935,-84.142044
1979-05-21,314.42798,1074.7303,693.25977,-127.25933,-172.39087
1979-05-22,543.47736,767.4907,780.9428,-180.27507,-38.50664
1979-05-23,557.4382,718.11084,397.95264,-211.16797,30.284246
1979-05-24,633.3926,843.71906,263.63455,64.12259,142.46115
1979-05-25,979.58875,612.42017,101.2129,-212.4215,256.18372
1979-05-26,1088.208,535.50464,318.7277,-503.54483,512.52014
1979-05-27,795.31714,834.53186,215.34714,-483.31003,262.1255
1979-05-28,640.9219,853.12054,204.125,-704.9068,-76.71479
1979-05-29,641.7957,359.70157,701.0859,-512.5943,162.41756
1979-05-30,-63.750546,69.91597,590.3223,-130.49637,516.5342
1979-05-31,-924.81976,467.24072,249.78604,-111.71103,51.7716
1979-06-01,-1129.6022,152.24323,675.4601,106.328186,98.634476
1979-06-02,-1807.3479,-154.5803,568.2127,-218.30115,122.54305
1979-06-03,-2112.1455,213.03847,511.4974,-150.12549,-217.36116
1979-06-04,-1369.6523,13.997982,460.2123,83.08457,-161.16573
1979-06-05,-680.1561,-285.25696,408.9372,220.25528,-54.158714
1979-06-06,-406.78488,-539.651,265.99747,167.86523,-63.678223
1979-06-07,-272.13602,-642.3994,63.120373,-14.186722,1.6599833
1979-06-08,169.7776,-605.1894,-176.01309,-210.66185,243.56253
1979-06-09,591.2699,-591.2955,-107.06777,-309.70456,345.6692
1979-06-10,293.50693,-539.9361,359.6967,-252.50388,300.27423
1979-06-11,-127.26221,-379.234,681.89417,-322.79773,190.20412
1979-06-12,-5.4221187,-343.44815,646.4373,-102.8613,198.81938
1979-06-13,987.31354,-142.03737,606.22955,264.812,176.32805
1979-06-14,1485.9734,61.15756,182.1335,426.89362,198.16173
1979-06-15,1171.5826,-171.88481,31.077412,424.85748,428.16672
1979-06-16,450.73654,-621.86755,322.12732,327.65884,609.2185
1979-06-17,-227.18092,-883.2513,78.74447,-116.84343,162.8136
1979-06-18,-707.2244,-576.4096,65.32067,-209.8183,-210.97485
1979-06-19,-995.1944,-96.107445,188.81429,-36.059586,-119.18856
1979-06-20,-642.4815,156.86963,553.4665,265.29382,-28.917498
1979-06-21,125.87168,268.2389,786.3734,510.599,181.15335
1979-06-22,561.6176,298.5138,853.46515,524.87866,122.21523
1979-06-23,241.25142,726.9851,680.58563,347.59094,154.21645
1979-06-24,225.32214,760.66113,267.7632,268.40253,194.32399
1979-06-25,666.56604,223.07822,329.66562,63.50704,299.60983
1979-06-26,658.7754,-168.07008,541.84033,-9.3744135,356.97537
1979-06-27,522.35,-362.21777,547.08386,-0.54601336,143.41158
1979-06-28,771.7629,-554.77747,623.6886,116.999435,115.07507
1979-06-29,801.6586,-824.9679,22.61464,105.64951,362.4854
1979-06-30,331.008,-1256.6378,-478.93686,244.70485,328.8283
1979-07-01,204.41608,-1357.3411,-205.33916,166.90485,382.82193
1979-07-02,184.12135,-1004.40424,164.14534,54.801636,573.8565
1979-07-03,-248.57002,-605.1428,282.95688,-123.88592,300.07504
1979-07-04,-876.7352,-626.3751,433.705,122.42058,-64.15403
1979-07-05,-911.7618,-752.1857,432.58472,92.18038,-349.79276
1979-07-06,-287.22162,-424.22507,540.37396,212.49036,-431.45987
1979-07-07,254.87651,-308.7462,146.85428,286.94376,-266.52573
1979-07-08,596.68896,-5.582183,243.45435,377.99792,-394.6079
1979-07-09,595.09375,-253.01028,470.9788,447.53018,-72.16544
1979-07-10,-26.61171,-365.23215,497.50854,206.33627,-129.19304
1979-07-11,-473.84866,-89.32858,547.45624,-0.7330525,-85.377846
1979-07-12,-499.2402,152.71161,702.8568,113.30941,-224.16849
1979-07-13,-560.9729,-280.48996,449.54,401.7223,-351.29626
1979-07-14,-788.0343,-626.2857,-22.721899,275.9215,-426.48663
1979-07-15,-757.7473,-584.0366,-258.85815,65.22804,-436.89218
1979-07-16,-203.9507,-243.62448,-98.33561,70.83158,-381.3636
1979-07-17,269.3645,-148.33473,128.51001,81.92199,-195.46599
1979-07-18,864.54047,-317.44196,-77.15158,78.01211,238.70177
1979-07-19,1270.6823,-486.54077,-211.65761,159.86763,208.68776
1979-07-20,1330.7131,-549.26025,-377.37247,-87.05467,62.080605
1979-07-21,1061.9026,-677.1064,-661.45776,-237.49043,136.16862
1979-07-22,404.75534,-985.3994,-707.59314,-46.392494,1.9882293
1979-07-23,1.2552234,-949.105,-403.6334,-11.3715105,-152.26234
1979-07-24,-63.217293,-472.85812,-305.67538,-259.04684,-211.65729
1979-07-25,-243.6571,-121.75908,-261.87354,-487.8519,-119.31079
1979-07-26,-632.3066,-91.11451,-199.88408,-456.72452,-212.04443
1979-07-27,-835.6657,-149.36734,-38.59282,-347.37387,-469.01117
1979-07-28,-466.26907,52.79998,64.51225,-231.11075,-479.77875
1979-07-29,339.15167,291.52078,47.89081,-192.33302,-210.17186
1979-07-30,848.23334,488.41745,-106.31542,-331.68912,-143.99095
1979-07-31,1127.1385,607.34564,-285.8769,-324.90613,-90.42506
1979-08-01,1340.4349,418.6695,-453.04034,-328.6938,75.04143
1979-08-02,1114.4076,-181.06068,-771.4445,-241.14647,207.78505
1979-08-03,490.0315,-604.29956,-685.08606,-302.8699,107.389694
1979-08-04,-161.18176,-259.57388,-154.82565,-252.31215,-124.56903
1979-08-05,-108.72807,366.83664,216.83267,-151.91716,-362.37915
1979-08-06,466.5674,740.9761,398.60056,-50.139774,-377.31653
1979-08-07,901.92523,428.80328,474.15704,208.31172,9.560426
1979-08-08,888.8924,262.07782,465.5945,307.7011,204.04622
1979-08-09,818.7433,206.45781,123.72891,388.22278,298.87848
1979-08-10,522.76215,-50.93421,-123.601,495.7295,151.25186
1979-08-11,-196.24205,48.644,-74.23785,347.36322,-167.5059
1979-08-12,-407.48843,349.70267,476.69766,316.73804,-351.78915
1979-08-13,-112.40541,648.5369,626.09955,226.8712,-168.0199
1979-08-14,712.0,890.54956,471.17462,398.95392,183.66035
1979-08-15,793.6991,233.87202,606.85803,530.2783,475.19217
1979-08-16,37.24896,343.57462,582.47363,521.19183,130.17918
1979-08-17,-623.6352,259.67413,115.20602,744.1838,124.456
1979-08-18,-1163.2239,157.66806,-139.31926,922.49756,77.76459
1979-08-19,-963.2143,-6.1556497,-239.33682,806.5951,116.37509
1979-08-20,-144.86018,-127.57175,-165.42386,452.42145,-74.59793
1979-08-21,622.6122,-232.37784,-275.94565,178.54086,-68.73946
1979-08-22,914.14594,-204.01582,-204.79509,-94.19957,124.41405
1979-08-23,662.17725,-178.2032,-286.55182,-104.86755,404.93555
1979-08-24,293.2006,-164.10031,-314.10834,-105.28668,137.58533
1979-08-25,-286.6229,48.504627,-679.0657,104.58897,-69.32681
1979-08-26,-452.68915,-135.5072,-1052.2483,284.42792,-131.50519
1979-08-27,-115.71929,-229.2577,-705.9563,27.570839,-195.77812
1979-08-28,4.188966,-282.53842,-5.4858465,-292.93875,-229.31
1979-08-29,-258.38147,-357.2785,297.46277,-552.5649,1.360889
1979-08-30,-394.5852,-280.6827,88.437546,-781.83765,218.11797
1979-08-31,-459.63126,-7.5465107,-127.94686,-973.6035,-70.813034
1979-09-01,-429.0561,302.04404,-149.94214,-900.38495,-366.0286
1979-09-02,-254.55179,328.96487,-108.37766,-435.83298,-501.52237
1979-09-03,-269.34,73.168365,-63.631443,-32.381264,-345.4602
1979-09-04,-291.49997,31.083466,-25.446974,-287.79245,-412.73535
1979-09-05,-72.37972,608.602,159.91953,-513.9501,-388.27686
1979-09-06,77.83344,788.3556,589.01184,82.84779,-197.7022
1979-09-07,-157.27632,285.747,737.57666,229.28227,139.98488
1979-09-08,-567.92017,-239.59155,391.39508,68.053925,351.47324
1979-09-09,-131.55466,-703.9846,694.88763,279.8612,270.76025
1979-09-10,622.7914,-1127.8284,596.8506,199.0557,415.02054
1979-09-11,1132.7362,-1278.2191,39.75218,-254.63145,369.35635
1979-09-12,1068.4603,-812.0867,-201.1233,-654.6001,35.923332
1979-09-13,1043.4299,-979.9386,-441.4098,-458.90207,368.57892
1979-09-14,557.62787,-1184.6467,-852.6678,-597.2762,123.31528
